common_name,scientific_name,family,growth_habit,basis_of_record,source,collector_observer,date,locality,longitude,latitude,coordinate_uncertainty_m,additional_information,image,link,additional_link,marker_color,additional_notes,original_marker_number
Norway maple,Acer platanoides,Sapindaceae,deciduous tree,human observation,iNaturalist,Nicole,"May 20, 2017",,-72.67242,42.352163,48,,,https://www.inaturalist.org/observations/6289848,,#ffae4f,,3
silver maple,Acer saccharinum,Sapindaceae,deciduous tree,human observation,iNaturalist,Michael K. Oliver,"May 23, 2018",,-72.630042,42.319753,5,This species gets its common name from the silvery undersides of its leaves.,,https://www.inaturalist.org/observations/12751516,,#ffae4f,,35
common yarrow,Achillea millefolium,Asteraceae,herbaceous perennial,human observation,iNaturalist,Nicole,"September 7, 2017",,-72.659435,42.356195,16,"The foliage has a strong, somewhat spicy scent. The genus name Achillea refers to the Greek hero Achilles, who used the plant to heal the wounds of his soldiers.",,https://www.inaturalist.org/observations/7863630,,#ffae4f,,10
common yarrow,Achillea millefolium,Asteraceae,herbaceous perennial,preserved specimen,Smith College Herbarium,W. E. Manning,"July 7, 1930","Adare Place, Northampton",-72.64304,42.330498,,"The foliage has a strong, somewhat spicy scent. The genus name Achillea refers to the Greek hero Achilles, who used the plant to heal the wounds of his soldiers.",https://i.ibb.co/qWdTWJ3/marker-106-Achillea-millefolium.jpg,,,#f47d36,,106
white snakeroot,Ageratina altissima var. altissima,Asteraceae,herbaceous perennial,preserved specimen,University of Kansas Ronald L. McGregor Herbarium,Harry E. Ahles,"August 12, 1967","Jct Connecticut River and MA Rte 9, Northampton",-72.618628,42.33594,300,"White snakeroot got its name because colonists believed it to be valuable in treating snakebite, but in fact it is highly toxic to cattle and humans who drink their milk.",https://i.ibb.co/3cTTfdD/marker-105-Ageratina-altissima-var-altissima.png,https://www.gbif.org/occurrence/176868968,http://biimages.biodiversity.ku.edu/static/VascularPlant/originals/2015_04_28-KANU00133697.jpg,#ffae4f,,105
garlic mustard,Alliaria petiolata,Brassicaceae,herbaceous biennial,preserved specimen,New York Botanical Garden Steere Herbarium,Harry E. Ahles,"June 19, 1974","Damon Road, Northampton",-72.641667,42.325,,Garlic mustard is an invasive species in North America.,https://i.ibb.co/wpqmRDV/marker-73-Alliaria-petiolata.png,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=486642,https://www.gbif.org/occurrence/1930743116,#ffae4f,,73
New York fern,Amauropelta noveboracensis,Thelypteridaceae,fern,human observation,iNaturalist,Doug Weihrauch,"September 9, 2018",,-72.717247,42.313087,5,New York fern can grow in large colonies.,,https://www.inaturalist.org/observations/16414129,,#ffae4f,,2
common ragweed,Ambrosia artemisiifolia,Asteraceae,herbaceous annual,preserved specimen,Smith College Herbarium,W. E. Manning,"August 30, 1928","Prospect Heights, Northampton",-72.64599,42.331059,,,https://i.ibb.co/7CYJzgd/marker-107-Ambrosia-artemisiifolia.jpg,,,#f47d36,,107
common ragweed,Ambrosia artemisiifolia,Asteraceae,herbaceous annual,preserved specimen,Smith College Herbarium,Marjorie H. Sackett with Rick Kesseli,"October 30, 1973","Collected along Curtis Nook Road, between Transects II and III.",-72.642178,42.300658,,,https://i.ibb.co/7Syftcy/marker-108-Ambrosia-artemisiifolia.jpg,,,#f47d36,,108
giant ragweed,Ambrosia trifida,Asteraceae,subshrub annual,preserved specimen,University of Kansas Ronald L. McGregor Herbarium,Harry E. Ahles,"August 21, 1975","Florence, North Maple Street",-72.671758,42.341609,748,,https://i.ibb.co/WpP0MZw/marker-104-Ambrosia-trifida.png,https://www.gbif.org/occurrence/176873249,http://biimages.biodiversity.ku.edu/static/VascularPlant/originals/2015_04_29-KANU00119781.jpg,#ffae4f,,104
giant ragweed,Ambrosia trifida,Asteraceae,subshrub annual,preserved specimen,Smith College Herbarium,Marjorie H. Sackett with Rick Kesseli,"August 7, 1973",Collected along Curtis Nook Rd. between Old Sp. Rd and Danks Rd.,-72.639175,42.297892,,,https://i.ibb.co/zGxV09Z/marker-109-Ambrosia-trifida.jpg,,,#f47d36,,109
false indigo bush,Amorpha fruticosa,Fabaceae,deciduous shrub,human observation,iNaturalist,Kyle Jones,"April 8, 2018",,-72.643988,42.296763,5,,,https://www.inaturalist.org/observations/10714316,,#ffae4f,,61
wood anemone,Anemone quinquefolia,Ranunculaceae,herbaceous perennial,preserved specimen,Denver Botanic Gardens Kathryn Kalmbach Herbarium,Marion W. Porter,"May 7, 1934","Roberts Hill, Leeds.",-72.706284,42.346336,523,,https://i.ibb.co/wg8C4PB/marker-86-Anemone-quinquefolia.png,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=3813818,https://www.gbif.org/occurrence/2242411053,#ffae4f,,86
wood anemone,Anemonoides quinquefolia (Anemone quinquefolia),Ranunculaceae,herbaceous perennial,human observation,iNaturalist,tedgilliland,"May 5, 2018",,-72.655898,42.35339,5,,,https://www.inaturalist.org/observations/12165813,,#ffae4f,,58
small pussytoes,Antennaria howellii ssp. petaloidea (Antennaria petaloidea),Asteraceae,herbaceous perennial,preserved specimen,Smith College Herbarium,W. E. Manning,May 1931,1/2 mile N. of Florence (edge of cemetery),-72.676766,42.348747,,,https://i.ibb.co/RBjWQbk/marker-111-Antennaria-petaloidea.jpg,,,#f47d36,,111
field pussytoes,Antennaria neglecta,Asteraceae,herbaceous perennial,preserved specimen,Smith College Herbarium,W. E. Manning,"May 10, 1931","by R. R. tracks, Fruit St. Florence",-72.670249,42.336361,,Field pussytoes is a host for caterpillars of the American painted lady butterfly. Fruit St is now Keyes St.,https://i.ibb.co/51qBwB9/marker-110-Antennaria-neglecta.jpg,,,#f47d36,,110
plantain-leaved pussytoes,Antennaria plantaginifolia,Asteraceae,herbaceous perennial,preserved specimen,Smith College Herbarium,W. E. Manning,"May 20, 1929",N. of Florence - North Farms road,-72.673124,42.356885,,The common name pussytoes comes from the clustered flowers' resemblance to a cat's paw.,https://i.ibb.co/ThfJXmq/marker-112-Antennaria-plantaginifolia.jpg,,,#f47d36,,112
greater burdock,Arctium lappa,Asteraceae,herbaceous biennial,preserved specimen,University of Connecticut George Safford Torrey Herbarium,Harry E. Ahles,"August 14, 1980","Hockanum Meadows, Northampton",-72.63333,42.29166,20000,,,https://www.gbif.org/occurrence/415903571,,#ffae4f,,97
greater burdock,Arctium lappa,Asteraceae,herbaceous biennial,preserved specimen,Smith College Herbarium,Marjorie H. Sackett with Rick Kesseli,"August 15, 1973","Collected along Mill R. side of Trolley Line, toward South Park Terrace.",-72.643648,42.304602,,,https://i.ibb.co/xjnR5Tv/marker-114-Arctium-lappa.jpg,,,#f47d36,,114
"common burdock, lesser burdock",Arctium minus,Asteraceae,herbaceous biennial,preserved specimen,Smith College Herbarium,W. E. Manning,"August 12, 1930","Adare Place, Northampton",-72.64304,42.330498,,,https://i.ibb.co/tJS7fnt/marker-115-Arctium-minus.jpg,,,#f47d36,,115
Jack-in-the-pulpit,Arisaema triphyllum,Araceae,herbaceous perennial,human observation,iNaturalist,Nicole,"May 12, 2017",,-72.67206,42.352948,16,,,https://www.inaturalist.org/observations/6181899,,#ffae4f,,29
poke milkweed,Asclepias exaltata,Apocynaceae,herbaceous perennial,human observation,iNaturalist,Aaron Hulsey,"July 5, 2018",,-72.719833,42.354683,5,,,https://www.inaturalist.org/observations/14080395,,#ffae4f,,57
eastern swamp milkweed,Asclepias incarnata ssp. pulchra,Apocynaceae,herbaceous perennial,human observation,iNaturalist,Nicole,"July 7, 2017",,-72.666888,42.352735,8,,,https://www.inaturalist.org/observations/6958529,,#ffae4f,,21
